Image #,# of Neuron Labels,# of Dendrite Labels,Average Dendrite Length (in pixels),Dendrite Lengths (in pixels)
1,9,7,169.857,"[366, 165, 43, 155, 217, 87, 156]"
2,9,7,171.857,"[53, 374, 159, 163, 198, 170, 86]"
3,9,8,125.25,"[164, 89, 134, 75, 247, 113, 129, 51]"
4,10,8,122.5,"[66, 161, 144, 166, 61, 38, 100, 244]"
5,10,10,107.9,"[40, 150, 122, 80, 212, 80, 226, 59, 64, 46]"
6,10,8,183.375,"[161, 483, 173, 52, 254, 147, 82, 115]"
7,9,7,196.714,"[485, 133, 85, 166, 90, 124, 294]"
8,7,8,165.125,"[155, 167, 484, 93, 42, 113, 59, 208]"
9,7,7,191.857,"[199, 531, 156, 86, 108, 90, 173]"
10,8,12,147.417,"[230, 343, 152, 179, 154, 43, 174, 48, 116, 100, 144, 86]"
11,12,13,152.538,"[34, 324, 202, 95, 118, 192, 73, 207, 139, 190, 173, 41, 195]"
12,10,10,128.9,"[41, 341, 199, 135, 44, 166, 119, 32, 97, 115]"
13,11,10,120.2,"[152, 118, 76, 72, 233, 88, 90, 148, 24, 201]"
14,9,10,132.3,"[196, 80, 180, 90, 72, 138, 263, 127, 81, 96]"
15,8,10,148.4,"[217, 219, 86, 117, 130, 180, 151, 118, 162, 104]"
16,7,10,155.6,"[239, 200, 229, 237, 100, 76, 113, 119, 134, 109]"
17,7,10,145.9,"[185, 235, 75, 140, 94, 86, 107, 252, 123, 162]"
18,7,9,162.778,"[103, 250, 95, 166, 167, 214, 173, 179, 118]"
19,7,11,167.727,"[172, 125, 77, 245, 86, 178, 186, 395, 107, 172, 102]"
20,8,10,147.3,"[216, 63, 227, 141, 151, 100, 121, 199, 145, 110]"
21,8,7,151.714,"[209, 126, 146, 138, 177, 170, 96]"
22,9,5,145.4,"[246, 188, 96, 94, 103]"
23,7,5,192.8,"[179, 237, 221, 117, 210]"
24,4,4,142.5,"[133, 190, 95, 152]"
25,6,4,119.25,"[151, 127, 62, 137]"
26,6,6,88.167,"[57, 113, 58, 106, 124, 71]"
27,10,8,78.0,"[66, 84, 97, 64, 110, 73, 63, 67]"
28,6,8,130.875,"[237, 87, 95, 152, 148, 64, 121, 143]"
29,5,7,147.286,"[81, 130, 172, 97, 202, 232, 117]"
30,6,6,148.667,"[112, 207, 226, 177, 100, 70]"
31,7,5,112.6,"[113, 86, 135, 65, 164]"
32,7,5,87.2,"[63, 80, 106, 38, 149]"
33,7,6,139.833,"[313, 93, 77, 139, 70, 147]"
34,9,9,118.778,"[297, 80, 172, 84, 81, 91, 94, 97, 73]"
35,12,12,112.917,"[275, 93, 75, 36, 81, 96, 85, 94, 85, 117, 106, 212]"
36,10,8,136.25,"[91, 49, 232, 180, 53, 241, 120, 124]"
37,7,6,169.667,"[173, 132, 104, 64, 237, 308]"
38,11,12,152.333,"[123, 281, 160, 113, 270, 148, 220, 110, 114, 55, 101, 133]"
39,10,11,126.182,"[87, 247, 131, 47, 147, 189, 141, 134, 75, 113, 77]"
